ID,Descriçãodosalimentos,Energia,Prot.(A),Prot.(V),Gordura,Carbo,Fibra,Sódio
1,"Abacate,cru",96.15,0.00,1.24,8.40,6.03,6.31,0.000
2,"Abacaxi,cru",48.32,0.00,0.86,0.12,12.33,0.99,0.000
3,"Abacaxi,polpa,congelada",30.59,0.00,0.47,0.11,7.80,0.33,1.236
4,"Abadejo,filé,congelado,assado",111.62,23.53,0.00,1.24,0.00,0.00,334.391
5,"Abadejo,filé,congelado,grelhado",129.64,27.61,0.00,1.30,0.00,0.00,305.094
6,"Abadejo,filé,congelado,cozido",91.10,19.35,0.00,0.94,0.00,0.00,189.338
7,"Abiu,cru",62.42,0.83,0.00,0.70,14.93,1.70,0.000
8,"Abóbora,cabotian,cozida",48.04,0.00,1.44,0.73,10.76,2.46,1.452
9,"Abóbora,moranga,refogada",29.00,0.00,0.39,0.80,5.98,1.55,3.028
10,"Abóbora,pescoço,crua",24.47,0.00,0.67,0.12,6.12,2.30,0.745
11,"Abobrinha,italiana,cozida",15.04,0.00,1.13,0.20,2.98,1.59,0.833
12,"Abobrinha,italiana,crua",19.28,0.00,1.14,0.14,4.29,1.35,0.000
13,"Abobrinha,italiana,refogada",24.43,0.00,1.07,0.82,4.19,1.38,2.209
14,"Abobrinha,paulista,crua",30.81,0.00,0.64,0.14,7.87,2.61,0.501
15,"Açaí,polpa,comxaropedeguaranáeglucose",110.30,0.00,0.72,3.66,21.46,1.72,15.099
16,"Açaí,polpa,congelada",58.05,0.00,0.80,3.94,6.21,2.55,5.177
17,Acarajé,289.21,8.35,0.00,19.93,19.11,9.36,304.889
18,"Acelga,crua",20.94,0.00,1.44,0.11,4.63,1.12,1.181
19,"Acerola,crua",33.46,0.00,0.91,0.21,7.97,1.51,0.000
20,"Acerola,polpa,congelada",21.94,0.00,0.59,0.00,5.54,0.70,1.280
21,"Achocolatado,pó",401.02,4.20,0.00,2.17,91.18,3.89,64.787
22,"Açúcar,cristal",386.85,0.00,0.32,0.00,99.61,0.00,0.000
23,"Açúcar,mascavo",368.55,0.00,0.76,0.09,94.45,0.00,25.204
24,"Açúcar,refinado",386.57,0.00,0.32,0.00,99.54,0.00,12.160
25,"Agrião,cru",16.58,0.00,2.69,0.24,2.25,2.14,7.462
26,"Aipo,cru",19.09,0.00,0.76,0.07,4.27,0.96,9.516
27,"Alface,americana,crua",8.79,0.00,0.61,0.13,1.75,1.02,7.308
28,"Alface,crespa,crua",10.68,0.00,1.35,0.16,1.70,1.83,3.380
29,"Alface,lisa,crua",13.82,0.00,1.69,0.12,2.43,2.33,4.233
30,"Alface,roxa,crua",12.72,0.00,0.91,0.19,2.49,2.01,7.124
31,"Alfavaca,crua",29.18,0.00,2.66,0.48,5.24,4.14,4.550
32,"Alho,cru",113.13,0.00,7.01,0.22,23.91,4.32,5.360
33,"Alho-poró,cru",31.51,0.00,1.41,0.14,6.88,2.51,1.762
34,"Almeirão,cru",18.03,0.00,1.77,0.22,3.34,2.59,2.351
35,"Almeirão,refogado",65.08,0.00,1.70,4.85,5.70,3.43,14.515
36,"Ameixa,calda,enlatada",182.85,0.00,0.41,0.00,46.89,0.52,2.704
37,"Ameixa,crua",52.54,0.00,0.77,0.00,13.85,2.43,0.000
38,"Ameixa,emcalda,enlatada,drenada",177.36,0.00,1.03,0.28,47.66,4.55,2.790
39,"Amêndoa,torrada,salgada",580.75,0.00,18.55,47.32,29.55,11.64,278.523
40,AmendoimDuRio,544.05,0.00,26.00,49.33,7.33,8.67,0.000
41,AmendoimGranfino,544.05,0.00,30.00,41.33,10.00,3.33,0.000
42,"Amendoim,grão,cru",544.05,0.00,27.19,43.85,20.31,8.04,0.000
43,"Amendoim,torrado,salgado",605.78,0.00,22.48,53.96,18.70,7.76,375.733
44,Apresuntado,128.86,13.45,0.00,6.69,2.86,0.00,942.933
45,Arrozcarreteiro,153.77,10.83,0.00,7.12,11.58,1.50,1621.728
46,"Arroz,integral,cozido",123.53,0.00,2.59,1.00,25.81,2.75,1.245
47,"Arroz,tipo1,cozido",128.26,0.00,2.52,0.23,28.06,1.56,1.201
48,"Arroz,tipo2,cozido",130.12,0.00,2.57,0.36,28.19,1.07,1.960
49,"Atemóia,crua",96.97,0.00,0.97,0.30,25.33,2.14,0.785
50,"Atum,conservaemóleo",165.91,26.19,0.00,6.00,0.00,0.00,362.147
51,"Atum,fresco,cru",117.50,25.68,0.00,0.87,0.00,0.00,30.303
52,AveiaemFlocosNestle,393.82,0.00,15.31,7.66,53.28,9.70,0.000
53,AveiaemFlocosQuaker,393.82,0.00,14.30,7.30,56.60,9.70,0.000
54,"Aveia,flocos,crua",393.82,0.00,13.92,8.50,66.64,9.13,4.627
55,"Azeite,dedendê",884.00,0.00,0.00,100.00,0.00,0.00,0.000
56,"Azeite,deoliva,extravirgem",884.00,0.00,0.00,100.00,0.00,0.00,0.000
57,"Azeitona,preta,conserva",194.15,0.00,1.16,20.35,5.54,4.56,1566.661
58,"Azeitona,verde,conserva",136.94,0.00,0.95,14.22,4.10,3.85,1347.178
59,"Bacalhau,salgado,cru",135.89,29.04,0.00,1.32,0.00,0.00,13585.057
60,"Bacalhau,salgado,refogado",139.66,23.98,0.00,3.61,1.22,0,1256.277
61,"BacardiBigApple(1dose,42g)",0.00,0.00,0.00,8.60,4.20,0.00,0.000
62,Bacon,0.00,18.00,0.00,30.00,0.00,0.00,0.000
63,"Baiãodedois,arrozefeijão-de-corda",135.68,0.00,6.24,3.23,20.42,5.07,93.300
64,"Banana,daterra,crua",128.02,0.00,1.43,0.24,33.67,1.53,0.000
65,"Banana,doceembarra",280.11,0.00,2.17,0.05,75.67,3.83,9.882
66,"Banana,figo,crua",105.08,0.00,1.13,0.14,27.80,2.80,0.000
67,"Banana,maçã,crua",86.81,0.00,1.75,0.06,22.34,2.59,0.000
68,"Banana,nanica,crua",91.53,0.00,1.40,0.12,23.85,1.95,0.000
69,"Banana,ouro,crua",112.37,0.00,1.48,0.21,29.34,1.95,0.000
70,"Banana,pacova,crua",77.91,0.00,1.23,0.08,20.31,2.03,0.939
71,"Banana,prata,crua",98.25,0.00,1.27,0.07,25.96,2.04,0.000
72,Barreado,164.98,18.27,0.00,9.53,0.24,0.15,47.627
73,BatataDoceCozida,0.00,0.00,2.01,0.15,20.71,3.30,0.000
74,BatataDoceCrua,0.00,0.00,1.57,0.05,20.12,3.00,0.000
75,BatataInglesaCozida,0.00,0.00,1.71,0.10,20.01,1.80,0.000
76,BatataInglesaCrua,0.00,0.00,2.57,0.10,12.44,2.50,0.000
77,BatataPalha,0.00,0.00,5.20,40.00,48.00,0.00,0.000
78,"Batata,baroa,cozida",80.12,0.00,0.85,0.17,18.95,1.76,2.098
79,"Batata,baroa,crua",100.98,0.00,1.05,0.17,23.98,2.06,0.000
80,"Batata,doce,cozida",76.76,0.00,0.64,0.09,18.42,2.21,2.699
81,"Batata,doce,crua",118.24,0.00,1.26,0.13,28.20,2.57,8.773
82,"Batata,frita,tipochips,industrializada",542.73,0.00,5.58,36.62,51.22,2.46,607.399
83,"Batata,inglesa,cozida",51.59,0.00,1.16,0.00,11.94,1.34,2.294
84,"Batata,inglesa,crua",64.37,0.00,1.77,0.00,14.69,1.16,0.000
85,"Batata,inglesa,frita",267.16,0.00,4.97,13.11,35.64,8.06,1.913
86,"Batata,inglesa,sauté",67.89,0.00,1.29,0.90,14.09,1.38,8.182
87,"Bebidaisotônica,saboresvariados",25.61,0.00,0.00,0.00,6.40,0.00,44.083
88,"Bebidaláctea,pêssego",55.16,0.00,2.13,1.91,7.57,0.29,46.263
89,BerinjelaCozida,0.00,0.00,0.83,0.23,8.73,2.50,0.000
90,BerinjelaCrua,0.00,0.00,1.00,0.20,5.70,3.40,0.000
91,"Berinjela,cozida",18.85,0.00,0.68,0.15,4.47,2.52,1.325
92,"Berinjela,crua",19.63,0.00,1.22,0.10,4.43,2.87,0.000
93,"Beterraba,cozida",32.15,0.00,1.29,0.09,7.23,1.88,22.762
94,"Beterraba,crua",48.83,0.00,1.95,0.09,11.11,3.37,9.720
95,"Bifeàcavalo,comcontrafilé",291.23,23.66,0.00,21.15,0.00,0.00,82.875
96,BisLimão(unidade),0.00,0.00,0.30,1.52,4.00,0.00,0.000
97,Biscoitodemaizena,0.00,6.67,0.00,10.00,70.00,2.00,0.000
98,BiscoitoNesfit,452,0.0,10.3,12.3,70.0,5.0,0.000
99,"Biscoito,doce,maisena",442.82,0.00,8.07,11.97,75.23,2.10,352.027
100,"Biscoito,doce,recheadocomchocolate",471.82,0.00,6.40,19.58,70.55,2.96,239.200
101,"Biscoito,doce,recheadocommorango",471.17,0.00,5.72,19.57,71.01,1.53,229.817
